0.014,0.00000,0.00000,0.00000,0.00000
0.079,0.00000,0.00000,0.00000,0.00000
0.125,0.00000,0.00000,0.00000,0.00000
0.173,0.00000,0.00000,0.00000,0.00000
0.236,0.00000,0.00000,0.00000,0.00000
0.283,0.00000,0.00000,0.00000,0.00000
0.346,0.00000,0.00000,0.00000,0.00000
0.407,0.00000,0.00000,0.00000,0.00000
0.454,0.00000,0.00000,0.00000,0.00000
0.500,0.00000,0.00000,0.00000,0.00000
0.547,0.00000,0.00000,0.00000,0.00000
0.595,0.00000,0.00000,0.00000,0.00000
0.641,0.00000,0.00000,0.00000,0.00000
0.687,0.00000,0.00000,0.00000,0.00000
0.734,0.00000,0.00000,0.00000,0.00000
0.781,0.00000,0.00000,0.00000,0.00000
0.829,0.00000,0.00000,0.00000,0.00000
0.876,0.00000,0.00000,0.00000,0.00000
0.921,0.00000,0.00000,0.00000,0.00000
0.968,0.00000,0.00000,0.00000,0.00000
1.015,0.00000,0.00000,0.00000,0.00000
1.063,0.00000,0.00000,0.00000,0.00000
1.110,0.00000,0.00000,0.00000,0.00000
1.156,0.00000,0.00000,0.00000,0.00000
1.203,0.00000,0.00000,0.00000,0.00000
1.250,0.00000,0.00000,0.00000,0.00000
1.297,0.00000,0.00000,0.00000,0.00000
1.344,0.00000,0.00000,0.00000,0.00000
1.391,0.00000,0.00000,0.00000,0.00000
1.438,0.00000,0.00000,0.00000,0.00000
1.486,0.00000,0.00000,0.00000,0.00000
1.548,0.00000,0.00000,0.00000,0.00000
1.595,0.00000,0.00000,0.00000,0.00000
1.642,0.00000,0.00000,0.00000,0.00000
1.689,0.00000,0.00000,0.00000,0.00000
1.735,0.00000,0.00000,0.00000,0.00000
1.781,0.00000,0.00000,0.00000,0.00000
1.828,0.00000,0.00000,0.00000,0.00000
1.874,0.00000,0.00000,0.00000,0.00000
1.921,0.00000,0.00000,0.00000,0.00000
1.968,0.00000,0.00000,0.00000,0.00000
2.015,0.00000,0.00000,0.00000,0.00000
2.061,0.00000,0.00000,0.00000,0.00000
2.108,0.00000,0.00000,0.00000,0.00000
2.155,0.00000,0.00000,0.00000,0.00000
2.202,0.00000,0.00000,0.00000,0.00000
2.248,0.00000,0.00000,0.00000,0.00000
2.294,0.00000,0.00000,0.00000,0.00000
2.341,0.00000,0.00000,0.00000,0.00000
2.388,0.00000,0.00000,0.00000,0.00000
2.435,0.00000,0.00000,0.00000,0.00000
2.482,0.00000,0.00000,0.00000,0.00000
2.528,0.00000,0.00000,0.00000,0.00000
2.574,0.00000,0.00000,0.00000,0.00000
2.621,0.00000,0.00000,0.00000,0.00000
2.667,0.00000,0.00000,0.00000,0.00000
2.715,0.00000,0.00000,0.00000,0.00000
2.761,0.00000,0.00000,0.00000,0.00000
2.808,0.00000,0.00000,0.00000,0.00000
2.855,0.00000,0.00000,0.00000,0.00000
2.902,0.00000,0.00000,0.00000,0.00000
2.950,0.00000,0.00000,0.00000,0.00000
2.996,0.00000,0.00000,0.00000,0.00000
3.043,0.00000,0.00000,0.00000,0.00000
3.090,0.00000,0.00000,0.00000,0.00000
3.137,0.00000,0.00000,0.00000,0.00000
3.184,0.00000,0.00000,0.00000,0.00000
3.231,0.00000,0.00000,0.00000,0.00000
3.278,0.00000,0.00000,0.00000,0.00000
3.325,0.00000,0.00000,0.00000,0.00000
3.372,0.00000,0.00000,0.00000,0.00000
3.420,0.00000,0.00000,0.00000,0.00000
3.467,0.00000,0.00000,0.00000,0.00000
3.512,0.00000,0.00000,0.00000,0.00000
3.559,0.00000,0.00000,0.00000,0.00000
3.606,0.00000,0.00000,0.00000,0.00000
3.653,0.00000,0.00000,0.00000,0.00000
3.700,0.00000,0.00000,0.00000,0.00000
3.747,0.00000,0.00000,0.00000,0.00000
3.794,0.00000,0.00000,0.00000,0.00000
3.841,0.00000,0.00000,0.00000,0.00000
3.887,0.00000,0.00000,0.00000,0.00000
3.934,0.00000,0.00000,0.00000,0.00000
3.981,0.00000,0.00000,0.00000,0.00000
4.028,0.00000,0.00000,0.00000,0.00000
4.075,0.00000,0.00000,0.00000,0.00000
4.122,0.00000,0.00000,0.00000,0.00000
4.170,0.00000,0.00000,0.00000,0.00000
4.217,0.00000,0.00000,0.00000,0.00000
4.265,0.00000,0.00000,0.00000,0.00000
4.310,0.00000,0.00000,0.00000,0.00000
4.357,0.00000,0.00000,0.00000,0.00000
4.404,0.00000,0.00000,0.00000,0.00000
4.450,0.00000,0.00000,0.00000,0.00000
4.497,0.00000,0.00000,0.00000,0.00000
4.543,0.00000,0.00000,0.00000,0.00000
4.591,0.00000,0.00000,0.00000,0.00000
4.638,0.00000,0.00000,0.00000,0.00000
4.684,0.00000,0.00000,0.00000,0.00000
4.731,0.00000,0.00000,0.00000,0.00000
4.778,0.00000,0.00000,0.00000,0.00000
4.824,0.00000,0.00000,0.00000,0.00000
4.871,0.00000,0.00000,0.00000,0.00000
4.918,0.00000,0.00000,0.00000,0.00000
4.965,0.00000,0.00000,0.00000,0.00000
5.011,0.00000,0.00000,0.00000,0.00000
5.058,0.00000,0.00000,0.00000,0.00000
5.106,0.00000,0.00000,0.00000,0.00000
5.153,0.00000,0.00000,0.00000,0.00000
5.200,0.00000,0.00000,0.00000,0.00000
5.247,0.00000,0.00000,0.00000,0.00000
5.294,0.00000,0.00000,0.00000,0.00000
5.340,0.00000,0.00000,0.00000,0.00000
5.387,0.00000,0.00000,0.00000,0.00000
5.434,0.00000,0.00000,0.00000,0.00000
5.481,0.00000,0.00000,0.00000,0.00000
5.529,0.00000,0.00000,0.00000,0.00000
5.576,0.00000,0.00000,0.00000,0.00000
